VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
JTMABABA2P;King;Tukwila;WA;98188;2023;SUBARU;SOLTERRA;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;11;244646573;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200
55SWF4HB3J;Kitsap;Bainbridge Island;WA;98110;2018;MERCEDES-BENZ;C-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;8;0;23;226075202;POINT (-122.5235781 47.6293323);PUGET SOUND ENERGY INC;53035091002
5YJ3E1EA3M;King;Redmond;WA;98052;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;45;171198947;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032323
1N4AZ1CP4K;Jefferson;Port Townsend;WA;98368;2019;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150;0;24;7892517;POINT (-122.7644197 48.1195874);BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY;53031950604
KNDJP3AE4H;Island;Freeland;WA;98249;2017;KIA;SOUL EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93;32250;10;124384732;POINT (-122.544745 48.03024);PUGET SOUND ENERGY INC;53029971301
5YJXCDE25L;Cowlitz;Kelso;WA;98626;2020;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;289;0;19;107639241;POINT (-122.90724 46.14458);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY;53015000901
JA4J24A52J;King;Redmond;WA;98053;2018;MITSUBISHI;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22;0;45;348254210;POINT (-122.0370611 47.6887161);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032328
5YJYGDEF7L;King;Bellevue;WA;98004;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;0;41;104522162;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023901
5YJYGAEE5M;King;Kirkland;WA;98033;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;48;157556920;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022501
5YJ3E1EBXM;King;Bellevue;WA;98006;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;177802691;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024701
